id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,speechiness,liveness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.02,0.05,0.12
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.85,0.04,0.08
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.05,0.06,0.20
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.90,0.03,0.10
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.01,0.07,0.15
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.94,0.03,0.09
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.75,0.04,0.30
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.60,0.05,0.11
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.88,0.03,0.07
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.06,0.05,0.18
11,Concrete Dreams,Blocktext,hip hop,energetic,0.78,95,0.62,0.85,0.12,0.02,0.38,0.16
12,Winter Nocturne,Élise Moreau,classical,melancholy,0.24,66,0.28,0.24,0.95,0.96,0.03,0.22
13,Island Time,Sunfar,reggae,uplifting,0.63,98,0.88,0.80,0.34,0.10,0.08,0.19
14,Iron Verdict,Ashfall,metal,aggressive,0.98,168,0.30,0.52,0.03,0.08,0.09,0.25
15,Neon Pulse,Voltage Kids,edm,euphoric,0.95,128,0.82,0.92,0.02,0.30,0.06,0.14
16,Velvet Hours,Mara Lune,r&b,romantic,0.52,84,0.68,0.71,0.28,0.03,0.11,0.13
17,Old Pine Road,The Hollowfields,folk,nostalgic,0.44,102,0.55,0.48,0.82,0.15,0.04,0.28
18,Payday Strut,Groove Cartel,funk,groovy,0.80,112,0.86,0.90,0.15,0.20,0.07,0.21
